batch_size,latency_ms,throughput_tok_sec
1,342.6,145.94
2,363.46,275.13
4,356.61,560.83
8,363.42,1100.65
16,375.5,2130.48
32,410.56,3897.12
64,485.28,6594.14
128,655.04,9770.4
